Crop,Month,Year,Rainfall,WPI
Cotton,7,2018,286.3,138.5
Cotton,8,2018,254.3,140.3
Cotton,9,2018,171.9,141.1
Cotton,10,2018,77.2,141.8
Cotton,11,2018,28.1,139.5
Cotton,12,2018,14.1,140.2
Gram,4,2012,47.5,116.1
Gram,5,2012,31.7,127.5
Gram,6,2012,117.8,130.7
Gram,7,2012,250.2,143.7
Gram,8,2012,262.4,149.9
Gram,9,2012,193.5,148.9
Gram,10,2012,58.7,145.5
Gram,11,2012,30.7,146
Gram,12,2012,11.7,139.4
Gram,1,2013,11.3,134
Gram,2,2013,40.1,124.1
Gram,3,2013,15.7,117.5
Gram,4,2013,30.4,118.8
Gram,5,2013,57.8,117
Gram,6,2013,219.8,113.6
Gram,7,2013,310,110
Gram,8,2013,254.7,107.9
Gram,9,2013,152.7,109.3
Gram,10,2013,129.4,111
Gram,11,2013,14,108.8
Gram,12,2013,6.7,107.3
Gram,1,2014,19.2,103.6
Gram,2,2014,27.4,101.7
Gram,3,2014,36.1,103.5
Gram,4,2014,22.2,102.8
Gram,5,2014,72.9,103.1
Gram,6,2014,95.4,99.6
Gram,7,2014,261.2,97.8
Gram,8,2014,237.5,100.4
Gram,9,2014,188,100.2
Gram,10,2014,60.2,100.8
Gram,11,2014,14.4,100.5
Gram,12,2014,10.7,102.6
Gram,1,2015,17.4,107.5
Gram,2,2015,21,109.4
Gram,3,2015,62,110.9
Gram,4,2015,69.4,115.3
Gram,5,2015,53.8,126.4
Gram,6,2015,192.8,135
Gram,7,2015,242.4,137.9
Gram,8,2015,205.2,142.3
Gram,9,2015,131.8,146.3
Gram,10,2015,42.9,153
Gram,11,2015,39.4,154.8
Gram,12,2015,15,153.8
Gram,1,2016,19.3,149.5
Gram,2,2016,22.8,145.8
Gram,3,2016,27.6,143.8
Gram,4,2016,37.4,159.1
Gram,5,2016,62.6,172.8
Gram,6,2016,168.3,188.5
Gram,7,2016,289.1,227.1
Gram,8,2016,256.3,225.7
Gram,9,2016,171.9,227.4
Gram,10,2016,76.1,262.3
Gram,11,2016,29.7,278.9
Gram,12,2016,14.9,270.3
Gram,1,2017,19,235.9
Gram,2,2017,22.6,200.4
Gram,3,2017,27.8,181.9
Gram,4,2017,37.9,183.4
Gram,5,2017,62.4,179.3
Gram,6,2017,168.1,174
Gram,7,2017,289.3,176
Gram,8,2017,256.2,176.7
Gram,9,2017,171.5,186.9
Gram,10,2017,76.3,177.9
Gram,11,2017,29.9,165
Gram,12,2017,15,152.9
Gram,1,2018,19.2,140.8
Gram,2,2018,20.1,134.7
Gram,3,2018,27.1,130.3
Gram,4,2018,40.2,127
Gram,5,2018,62.7,124.3
Gram,6,2018,165,121.6
Gram,7,2018,286.3,128.3
Gram,8,2018,254.3,135.7
Gram,9,2018,171.9,132.5
Gram,10,2018,77.2,135.7
Gram,11,2018,28.1,140.8
Gram,12,2018,14.1,146.7
Groundnut,4,2012,47.5,112.5
Groundnut,5,2012,31.7,114
Groundnut,6,2012,117.8,113.9
Groundnut,7,2012,250.2,116.7
Groundnut,8,2012,262.4,122.9
Groundnut,9,2012,193.5,122
Groundnut,10,2012,58.7,121.5
Groundnut,11,2012,30.7,121.9
Groundnut,12,2012,11.7,125.8
Groundnut,1,2013,11.3,128.7
Groundnut,2,2013,40.1,125.3
Groundnut,3,2013,15.7,121.1
Groundnut,4,2013,30.4,124.7
Groundnut,5,2013,57.8,122.2
Groundnut,6,2013,219.8,115.8
Groundnut,7,2013,310,110.3
Groundnut,8,2013,254.7,106.2
Groundnut,9,2013,152.7,107.1
Groundnut,10,2013,129.4,107.6
Groundnut,11,2013,14,104.7
Groundnut,12,2013,6.7,100.4
Groundnut,1,2014,19.2,100.7
Groundnut,2,2014,27.4,99.4
Groundnut,3,2014,36.1,99.3
Groundnut,4,2014,22.2,100.4
Groundnut,5,2014,72.9,103.9
Groundnut,6,2014,95.4,102.5
Groundnut,7,2014,261.2,103.5
Groundnut,8,2014,237.5,106.3
Groundnut,9,2014,188,109.8
Groundnut,10,2014,60.2,109
Groundnut,11,2014,14.4,106.5
Groundnut,12,2014,10.7,105
Groundnut,1,2015,17.4,110
Groundnut,2,2015,21,111.1
Groundnut,3,2015,62,115
Groundnut,4,2015,69.4,119.7
Groundnut,5,2015,53.8,127.3
Groundnut,6,2015,192.8,135.7
Groundnut,7,2015,242.4,133.1
Groundnut,8,2015,205.2,134.8
Groundnut,9,2015,131.8,136.1
Groundnut,10,2015,42.9,122.3
Groundnut,11,2015,39.4,122.4
